City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Country
229,Paita,-5.0892,-81.1144,73.6,79,49,10.51,scattered clouds,PE
230,Bend,44.0582,-121.3153,44.46,48,0,10.36,clear sky,US
231,Borazjan,29.2666,51.2159,61.93,65,0,3.0,clear sky,IR
232,San Rafael Del Sur,11.8485,-86.4384,79.77,43,95,14.23,overcast clouds,NI
233,Lorengau,-2.0226,147.2712,81.99,72,100,1.52,overcast clouds,PG
234,Bourges,47.25,2.4167,33.17,64,0,5.26,clear sky,FR
235,Hofn,64.2539,-15.2082,43.41,95,100,33.64,moderate rain,IS
236,Kisanga,-7.4362,37.7034,72.0,97,100,1.59,overcast clouds,TZ
237,Anamur,36.0751,32.8369,50.02,72,100,11.7,overcast clouds,TR
238,Garachine,8.0647,-78.3628,77.77,83,94,4.36,overcast clouds,PA
239,Bilibino,68.0546,166.4372,-9.83,91,16,1.9,few clouds,RU
240,Cayenne,4.9333,-52.3333,77.09,91,75,0.0,broken clouds,GF
241,Kahului,20.8947,-156.47,83.46,47,0,16.11,clear sky,US
242,Iqaluit,63.7506,-68.5145,1.13,78,75,24.16,broken clouds,CA
243,Palmer,42.1584,-72.3287,37.81,50,100,9.22,overcast clouds,US
244,Sao Filipe,14.8961,-24.4956,71.2,70,0,12.37,clear sky,CV
245,Astorga,-23.2325,-51.6656,72.0,75,3,5.68,clear sky,BR
246,Zyryanka,65.75,150.85,-17.7,94,100,2.64,overcast clouds,RU
247,Nishihara,26.1842,127.7558,66.25,63,75,18.41,broken clouds,JP
248,Port-Gentil,-0.7193,8.7815,81.77,78,100,7.2,overcast clouds,GA
249,Vestmanna,62.1564,-7.1664,41.92,70,100,14.97,overcast clouds,FO
250,Zirandaro,18.45,-100.9833,90.21,24,1,6.11,clear sky,MX
251,Wanning,18.8003,110.3967,75.51,81,96,5.23,overcast clouds,CN
252,Dolores,-36.3132,-57.6792,64.89,97,10,5.3,light rain,AR
253,Dwarka,22.2394,68.9678,72.52,68,7,11.86,clear sky,IN
254,Fukuma,33.7667,130.4667,50.29,41,5,16.26,clear sky,JP
255,Canandaigua,42.8742,-77.288,46.17,77,100,8.99,overcast clouds,US
256,Barinas,8.6226,-70.2075,83.59,51,46,2.42,scattered clouds,VE
257,Alihe,50.5667,123.7167,13.39,71,16,2.8,few clouds,CN
258,Grand Gaube,-20.0064,57.6608,80.38,86,100,8.01,overcast clouds,MU
259,Garhi Khairo,28.0606,67.9803,68.54,39,33,5.01,scattered clouds,PK
260,Oktyabrskiy,54.4815,53.471,17.37,92,100,20.98,light snow,RU
261,Sitka,57.0531,-135.33,44.49,87,100,0.0,mist,US
262,Saquarema,-22.92,-42.5103,78.82,83,14,14.2,few clouds,BR
263,Ankang,32.68,109.0172,52.5,59,100,3.65,light rain,CN
264,Burnie,-41.0667,145.9167,70.95,41,64,12.71,broken clouds,AU
265,Nizhnyaya Omka,55.4338,74.9426,33.44,93,100,18.12,overcast clouds,RU
266,Gobabis,-22.45,18.9667,66.29,76,6,8.93,clear sky,NA
267,Dhule,20.9,74.7833,74.46,31,0,4.16,clear sky,IN
268,Chebsara,59.2002,38.8356,9.73,99,100,3.69,overcast clouds,RU
269,Calabozo,8.9242,-67.4293,87.01,45,62,6.24,broken clouds,VE
270,Mashhad,36.297,59.6062,48.34,37,40,11.5,scattered clouds,IR
271,Nogliki,51.8333,143.1667,18.48,93,94,10.63,overcast clouds,RU
272,Airai,-8.9266,125.4092,73.62,58,13,1.34,few clouds,TL
273,West Bay,19.3667,-81.4167,80.67,75,20,13.8,few clouds,KY
274,Amuntai,-2.4177,115.2494,75.92,93,98,0.6,overcast clouds,ID
275,Tezu,27.9167,96.1667,65.21,36,0,3.04,clear sky,IN
276,Palana,59.1167,159.9667,13.42,86,30,5.86,scattered clouds,RU
277,Elko,41.0002,-115.5012,33.82,72,100,21.99,overcast clouds,US
278,Beyla,8.6833,-8.6333,77.85,58,26,3.98,scattered clouds,GN
279,Gari,59.4307,62.3497,4.33,94,100,16.49,light snow,RU
280,Russell,32.3502,-85.1999,72.68,66,0,0.0,clear sky,US
281,Alexandria,31.2156,29.9553,56.17,72,100,14.41,overcast clouds,EG
282,Linjiang,41.8069,126.9078,21.24,69,11,3.36,few clouds,CN
283,Vanimo,-2.6741,141.3028,77.81,89,100,5.97,overcast clouds,PG
284,Mitsamiouli,-11.3847,43.2844,80.24,78,31,4.97,scattered clouds,KM
285,Agadez,19.75,10.25,75.52,13,100,7.05,overcast clouds,NE
286,Mandurah,-32.55,115.7,80.15,49,0,11.18,clear sky,AU
287,Darnah,32.767,22.6367,59.07,91,100,5.39,overcast clouds,LY
288,Kaya,13.0917,-1.0844,82.94,14,100,7.74,overcast clouds,BF
289,Cumra,37.5732,32.7745,33.94,81,100,3.83,overcast clouds,TR
290,Leiyang,26.4024,112.8591,58.8,97,100,2.84,overcast clouds,CN
291,Nevelsk,46.6733,141.8633,27.03,82,100,28.81,light snow,RU
292,Diego De Almagro,-26.3667,-70.05,69.58,51,0,3.78,clear sky,CL
293,Ternate,0.8,127.4,83.41,75,53,9.19,broken clouds,ID
294,Olga,43.7444,135.2892,31.53,57,99,14.94,overcast clouds,RU
295,Linhai,28.85,121.1167,47.08,84,100,1.9,overcast clouds,CN
296,Jinchang,38.4953,102.1739,40.05,41,100,6.91,overcast clouds,CN
297,Sola,-13.8833,167.55,82.76,75,61,6.62,broken clouds,VU
298,Hun,29.1268,15.9477,53.06,63,0,5.93,clear sky,LY
299,Prijepolje,43.3719,19.6406,28.06,97,100,2.98,snow,RS
300,Batagay,67.6333,134.6333,-15.99,97,84,0.22,broken clouds,RU
301,Tuatapere,-46.1333,167.6833,74.82,52,100,10.6,moderate rain,NZ
302,Bonthe,7.5264,-12.505,77.56,89,83,5.37,broken clouds,SL
303,Hasaki,35.7333,140.8333,50.4,29,80,22.75,broken clouds,JP
304,Rockland,41.1668,-74.0496,41.72,68,100,6.31,overcast clouds,US
305,Sao Gabriel Da Cachoeira,-0.1303,-67.0892,73.4,99,100,2.46,overcast clouds,BR
306,Aykhal,66.0,111.5,-10.59,98,100,4.45,overcast clouds,RU
307,Rio Branco Do Sul,-25.19,-49.3142,71.92,97,41,0.69,scattered clouds,BR
308,Sayyan,15.1718,44.3244,51.49,14,5,2.04,clear sky,YE
309,Namatanai,-3.6667,152.4333,83.82,72,99,3.15,light rain,PG
310,Sibu,2.3,111.8167,79.11,83,20,5.75,few clouds,MY
311,Buta,2.7858,24.73,71.29,64,52,1.48,broken clouds,CD
312,Shihezi,44.3,86.0333,28.54,94,100,4.23,overcast clouds,CN
313,Karwar,14.8,74.1333,75.07,50,6,5.57,clear sky,IN
314,Decatur,39.8403,-88.9548,64.71,77,100,26.46,overcast clouds,US
315,Issenye,-2.0,34.3333,62.58,69,6,3.2,clear sky,TZ
316,Belmonte,-15.8631,-38.8828,77.5,83,46,6.53,scattered clouds,BR
317,Vagur,61.4732,-6.8119,43.84,77,100,23.51,overcast clouds,FO
318,Pochutla,15.7432,-96.4661,81.82,71,0,4.29,clear sky,MX
319,Barcelos,41.5388,-8.6151,47.68,82,18,5.75,few clouds,PT
320,Nuqui,5.7125,-77.2708,75.9,89,100,0.98,light rain,CO
321,Orsha,54.5153,30.4053,19.62,96,13,2.68,few clouds,BY
322,Natal,-5.795,-35.2094,77.22,100,100,5.75,overcast clouds,BR
323,Phanat Nikhom,13.4458,101.1844,88.88,99,93,6.51,overcast clouds,TH
324,Baculin,7.4525,126.5842,82.26,74,89,3.09,overcast clouds,PH
325,Alice Springs,-23.7,133.8833,80.15,36,35,13.8,scattered clouds,AU
326,Lavrentiya,65.5833,-171.0,13.3,91,94,1.43,overcast clouds,RU
327,Selfoss,63.9331,-20.9971,34.05,88,100,12.66,heavy snow,IS
328,Hobyo,5.3505,48.5268,76.59,78,14,14.56,few clouds,SO
329,Paracatu,-17.2222,-46.8747,67.5,89,11,2.84,few clouds,BR
330,Nouadhibou,20.931,-17.0347,62.58,72,0,28.77,sand,MR
331,Lodingen,68.414,15.9951,36.45,82,100,16.64,light rain,NO
332,Anadyr,64.75,177.4833,7.3,77,0,6.71,clear sky,RU
333,Poum,-20.2333,164.0167,81.5,67,10,9.48,clear sky,NC
334,Sambava,-14.2667,50.1667,75.42,92,100,5.7,moderate rain,MG
335,Cuiaba,-15.5961,-56.0967,78.73,89,0,2.3,clear sky,BR
336,Port Hardy,50.6996,-127.4199,47.75,71,75,10.36,broken clouds,CA
337,Vucje,42.8653,21.9114,37.4,89,100,5.61,light rain,RS
338,Nyurba,63.2842,118.3319,5.02,93,100,7.05,overcast clouds,RU
339,Bilma,18.6853,12.9164,79.05,9,100,4.29,overcast clouds,NE
340,Envira,-7.3,-70.2167,75.99,84,100,2.17,overcast clouds,BR
341,Margate,51.3813,1.3862,41.7,68,100,8.99,overcast clouds,GB
342,Vestmannaeyjar,63.4427,-20.2734,35.89,96,100,24.38,light rain,IS
343,Sioux Falls,43.55,-96.7003,28.26,88,100,14.97,light snow,US
344,Panguna,-6.3164,155.4848,84.74,52,98,2.82,overcast clouds,PG
345,San Juan,-31.5375,-68.5364,75.42,39,1,9.37,clear sky,AR
346,Havre-Saint-Pierre,50.2334,-63.5986,19.4,56,0,14.97,clear sky,CA
