City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
204,Faanui,PF,2022-03-03 17:32:00,-16.4833,-151.75,80.92,77,14,15.39
205,Sabzevar,IR,2022-03-03 17:32:00,36.2126,57.6819,56.48,38,75,9.22
206,Lagunas,PE,2022-03-03 17:32:01,-5.2269,-75.6753,81.93,71,100,4.68
207,Bereda,ES,2022-03-03 17:32:01,43.2686,-7.5406,47.91,97,96,6.55
208,Ilulissat,GL,2022-03-03 17:32:02,69.2167,-51.1,21.22,68,75,8.05
209,Yulara,AU,2022-03-03 17:32:02,-25.2406,130.9889,82.24,39,49,14.97
210,Marshall,US,2022-03-03 17:32:03,34.3834,-86.3333,74.32,31,0,5.01
211,Bengkulu,ID,2022-03-03 17:32:03,-3.8004,102.2655,75.69,92,100,11.88
212,Kavaratti,IN,2022-03-03 17:32:03,10.5669,72.642,82.4,66,13,11.12
213,Sur,OM,2022-03-03 17:32:04,22.5667,59.5289,74.66,74,0,10.22
214,Lasa,IT,2022-03-03 17:32:04,46.6166,10.7002,48.11,92,47,5.66
215,Halifax,CA,2022-03-03 17:28:18,44.6453,-63.5724,29.21,93,100,15.01
216,Arraial Do Cabo,BR,2022-03-03 17:32:05,-22.9661,-42.0278,93.16,58,0,11.5
217,Hasaki,JP,2022-03-03 17:32:05,35.7333,140.8333,37.8,52,44,23.78
218,Garoua Boulai,CM,2022-03-03 17:32:06,5.8833,14.55,79.2,28,27,2.98
219,Zyryanka,RU,2022-03-03 17:32:07,65.75,150.85,-24.54,100,100,1.68
220,Tomigusuku,JP,2022-03-03 17:32:07,26.185,127.675,62.37,77,1,2.3
221,Barinitas,VE,2022-03-03 17:32:07,8.7622,-70.4111,87.28,41,63,4.41
222,Nelson Bay,AU,2022-03-03 17:32:08,-32.7167,152.15,73.99,96,96,3.0
223,Mount Gambier,AU,2022-03-03 17:32:08,-37.8333,140.7667,67.91,73,100,8.05
224,Yar-Sale,RU,2022-03-03 17:32:09,66.8333,70.8333,-3.03,96,100,17.31
225,Cabedelo,BR,2022-03-03 17:32:09,-6.9811,-34.8339,88.47,64,74,10.54
226,Thyboron,DK,2022-03-03 17:32:10,56.6985,8.2124,40.17,72,0,9.82
227,Krasnoselkup,RU,2022-03-03 17:32:10,65.7,82.4667,1.0,97,100,9.13
228,Nuqui,CO,2022-03-03 17:32:10,5.7125,-77.2708,83.1,81,95,7.45
229,Dondo,MZ,2022-03-03 17:32:11,-19.6094,34.7431,80.11,76,0,6.67
230,Ondjiva,AO,2022-03-03 17:32:11,-17.0667,15.7333,75.24,45,85,5.35
231,Conakry,GN,2022-03-03 17:32:12,9.538,-13.6773,86.07,62,41,13.8
232,Cheremukhovo,RU,2022-03-03 17:33:12,60.3484,59.9851,24.13,97,100,2.35
233,Soyo,AO,2022-03-03 17:33:13,-6.1349,12.3689,87.85,84,34,10.94
234,Mareeba,AU,2022-03-03 17:33:13,-17.0,145.4333,77.43,94,45,2.71
235,Pahrump,US,2022-03-03 17:33:13,36.2083,-115.9839,71.31,13,76,1.99
236,Port Augusta,AU,2022-03-03 17:31:30,-32.5,137.7667,76.71,67,98,16.08
237,Sovetskiy,RU,2022-03-03 17:33:14,61.3614,63.5842,23.2,97,100,3.38
238,Barrow,US,2022-03-03 17:33:14,71.2906,-156.7887,14.02,85,100,4.61
239,Saint-Joseph,RE,2022-03-03 17:33:15,-21.3667,55.6167,79.18,86,37,9.89
240,Pokhara,NP,2022-03-03 17:33:15,28.2333,83.9833,57.61,58,25,6.64
241,Kununurra,AU,2022-03-03 17:33:15,-15.7667,128.7333,80.58,94,100,4.61
242,Batagay-Alyta,RU,2022-03-03 17:33:16,67.8006,130.4114,-9.8,89,100,1.57
243,Ambanja,MG,2022-03-03 17:33:16,-13.6833,48.45,74.28,93,100,1.25
244,Birin,NP,2022-03-03 17:33:16,26.8865,88.0718,50.32,61,8,5.77
245,Harnosand,SE,2022-03-03 17:33:17,62.6323,17.9379,33.82,88,2,5.7
246,Tarpon Springs,US,2022-03-03 17:29:55,28.1461,-82.7568,82.81,59,0,7.0
247,Jining,CN,2022-03-03 17:33:17,35.405,116.5814,51.76,28,100,7.56
248,Marondera,ZW,2022-03-03 17:33:18,-18.1853,31.5519,62.85,82,69,0.67
249,Chegdomyn,RU,2022-03-03 17:33:19,51.1167,133.0167,-7.26,98,64,2.42
250,Buarcos,PT,2022-03-03 17:33:19,40.166,-8.8768,56.66,77,1,25.84
251,Doha,QA,2022-03-03 17:29:57,25.2867,51.5333,71.91,71,0,9.22
252,Awjilah,LY,2022-03-03 17:33:20,29.1081,21.2869,58.64,40,95,6.51
253,Oranjestad,AW,2022-03-03 17:33:20,12.524,-70.027,84.15,70,40,19.57
254,Rio Grande,BR,2022-03-03 17:30:09,-32.035,-52.0986,87.91,62,0,10.96
255,Sibu,MY,2022-03-03 17:33:21,2.3,111.8167,77.31,94,40,0.0
256,Butte,US,2022-03-03 17:33:21,39.6499,-121.5677,63.95,62,100,4.61
257,Najran,SA,2022-03-03 17:33:21,17.4924,44.1277,74.05,20,0,3.94
258,The Pas,CA,2022-03-03 17:33:22,53.8251,-101.2541,1.42,51,0,10.36
259,Deputatskiy,RU,2022-03-03 17:33:22,69.3,139.9,-23.93,100,100,0.89
260,Kuliyapitiya,LK,2022-03-03 17:33:23,7.4688,80.0401,80.28,74,100,4.74
261,Lebu,CL,2022-03-03 17:31:17,-37.6167,-73.65,65.41,76,81,9.57
262,Mopti,ML,2022-03-03 17:33:23,14.6667,-4.0,90.93,14,93,13.56
263,Kieta,PG,2022-03-03 17:33:24,-6.2167,155.6333,79.57,82,100,0.63
264,Batagay,RU,2022-03-03 17:33:24,67.6333,134.6333,-19.39,97,100,1.66
265,Osorno,CL,2022-03-03 17:33:24,-40.5667,-73.15,71.91,53,75,10.36
266,San Pedro,PH,2022-03-03 17:33:25,14.35,121.0167,79.83,74,20,8.05
267,Vakhrushi,RU,2022-03-03 17:33:25,58.6847,50.0261,26.11,93,100,5.19
268,Westport,US,2022-03-03 17:33:25,41.1415,-73.3579,44.98,41,0,18.41
269,Staryy Nadym,RU,2022-03-03 17:33:26,65.6118,72.6842,9.21,94,100,20.98
270,Santa Isabel Do Rio Negro,BR,2022-03-03 17:33:26,-0.4139,-65.0192,86.92,68,97,2.82
271,Woodward,US,2022-03-03 17:33:26,36.4337,-99.3904,72.97,21,0,0.0
272,Vardo,NO,2022-03-03 17:33:27,70.3705,31.1107,28.38,80,75,17.27
273,Namibe,AO,2022-03-03 17:33:27,-15.1961,12.1522,75.88,74,36,8.55
274,Kiyevskoye,RU,2022-03-03 17:33:27,45.0383,37.8883,37.71,100,100,8.28
275,Perene,PE,2022-03-03 17:33:28,-10.9492,-75.2261,85.28,56,90,4.16
276,Sunyani,GH,2022-03-03 17:34:28,7.3399,-2.3268,87.85,41,68,4.47
277,Bambanglipuro,ID,2022-03-03 17:34:29,-7.95,110.2833,77.34,89,99,6.2
278,Zyryanovsk,KZ,2022-03-03 17:34:29,49.7386,84.2719,-5.8,98,64,2.53
279,Wajid,SO,2022-03-03 17:34:29,3.8093,43.2471,85.1,16,77,12.12
280,Colinas,BR,2022-03-03 17:34:30,-6.0258,-44.2492,83.19,83,89,1.32
281,Provideniya,RU,2022-03-03 17:34:30,64.3833,-173.3,9.91,94,79,10.36
282,Torbay,CA,2022-03-03 17:34:31,47.6666,-52.7314,32.76,74,75,14.97
283,Lazaro Cardenas,MX,2022-03-03 17:34:31,17.9583,-102.2,82.99,53,0,8.05
284,Saint-Michel-Des-Saints,CA,2022-03-03 17:34:31,46.6834,-73.9159,5.04,75,53,12.24
285,Tacuarembo,UY,2022-03-03 17:34:32,-31.7333,-55.9833,86.72,38,0,0.76
